https://ctcrash.uconn.edu/QueryTool2.action?qid=110711
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","State","Country","Postal Code","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"746011","","2","50","1","Male","CT","06606","3","Pedestrian","K","Fatal Injury (K)","97","Other","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD"," ","true","1","","false","99","Unknown","99","Unknown","99","Unknown","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Bridgeport","CT","United States","06606","1","Not Licensed","CT","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"749296","","3","31","1","Male","CT","06513","3","Pedestrian","K","Fatal Injury (K)","2","Physically Impaired","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA GRASSO BLVD"," ","true","2","","false","1","Crossing Roadway","1","No","3","Failure to Yield Right-Of-Way","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06513","1","Not Licensed","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"756888","","2","","1","Male","  ","","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ","true","","","true","97","Other","1","No","1","No Improper Action","","","7","Shoulder/Roadside","0","None","","","1","Not Distracted","","","","","  ","","","88","Not applicable","","","","","3","EMS Ground","AMR","YALE NH HOSP"
"756888","","3","59","1","Male","  ","","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","DIXWELL AVE"," ","true","","","true","97","Other","1","No","1","No Improper Action","","","7","Shoulder/Roadside","0","None","","","1","Not Distracted","","","","","  ","","","88","Not applicable","","","","","3","EMS Ground","AMR","YALE NH HOSP"
"776595","","2","86","1","Male","CT","","3","Pedestrian","K","Fatal Injury (K)","97","Other","","","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T GRASSO BLVD","W","","1","","false","1","Crossing Roadway","1","No","2","Dart/Dash","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","CT","United States","","","","","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"782656","","2","53","1","Male","CT","06519","3","Pedestrian","K","Fatal Injury (K)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELM ST","N","","1","","false","1","Crossing Roadway","99","Unknown","3","Failure to Yield Right-Of-Way","4","Failure to Obey Traffic Signs, Signals, or Officer","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","CT","United States","06519","1","Not Licensed","CT","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"794170","","3","52","1","Male","CT","06517","3","Pedestrian","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","ELLA T. GRASSO BLVD","E","","1","","false","99","Unknown","1","No","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","88","Not Applicable","99","Unknown if Distracted","","","","Hamden","CT","United States","06517","","","CT","","","","1","Not Transported","",""
"799014","","3","81","1","Male","CT","06512","4","Other Pedestrian (wheelchair, person in a building, skater, pedestrian conveyance)","K","Fatal Injury (K)","99","Unknown","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Foxon Road","E","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","East Haven","CT","","06512","","","CT","","","","1","Not Transported","AMR","Yale New Haven Hospital"
"810004","","1","25","1","Male","MA","02155","5","Bicyclist","K","Fatal Injury (K)","99","Unknown","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","YORK ST","E","","1","1","false","1","Crossing Roadway","99","Unknown","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Medford","MA","United States","02155","2","State","MA","","","","3","EMS Ground","AMER MED RESPONSE","YALE-NH HOSP"
"825978","","4","68","2","Female","CT","06515","3","Pedestrian","K","Fatal Injury (K)","97","Other","6","Under the Influence of Medications/Drugs/Alcohol","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WHALLEY AVE","W","","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","99","Unknown","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Have","CT","United States","06515","2","State","CT","","","","1","Not Transported","",""
